F,D
319,75
199,67
341,100
106,144
300,98
161,123
136,139
242,101
370,74
356,147
144,132
324,101
184,132
235,53
226,70
372,140
182,85
290,147
165,57
310,94
118,54
252,71
376,89
171,50
226,120
297,59
201,106
255,84
173,83
